"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","home_team_canonical","away_team_canonical","home_team_fifa","away_team_fifa","result","match_id","is_home"
1872-11-30,"Scotland","England",0,0,"Friendly","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",0.5,"Scotland_England_1872-11-30",TRUE
1873-03-08,"England","Scotland",4,2,"Friendly","London","England",FALSE,"England","Scotland","ENG",NA,1,"England_Scotland_1873-03-08",TRUE
1874-03-07,"Scotland","England",2,1,"Friendly","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",1,"Scotland_England_1874-03-07",TRUE
1875-03-06,"England","Scotland",2,2,"Friendly","London","England",FALSE,"England","Scotland","ENG",NA,0.5,"England_Scotland_1875-03-06",TRUE
1876-03-04,"Scotland","England",3,0,"Friendly","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",1,"Scotland_England_1876-03-04",TRUE
1876-03-25,"Scotland","Wales",4,0,"Friendly","Glasgow","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1876-03-25",TRUE
1877-03-03,"England","Scotland",1,3,"Friendly","London","England",FALSE,"England","Scotland","ENG",NA,0,"England_Scotland_1877-03-03",TRUE
1877-03-05,"Wales","Scotland",0,2,"Friendly","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1877-03-05",TRUE
1878-03-02,"Scotland","England",7,2,"Friendly","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",1,"Scotland_England_1878-03-02",TRUE
1878-03-23,"Scotland","Wales",9,0,"Friendly","Glasgow","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1878-03-23",TRUE
1879-01-18,"England","Wales",2,1,"Friendly","London","England",FALSE,"England","Wales","ENG","WAL",1,"England_Wales_1879-01-18",TRUE
1879-04-05,"England","Scotland",5,4,"Friendly","London","England",FALSE,"England","Scotland","ENG",NA,1,"England_Scotland_1879-04-05",TRUE
1879-04-07,"Wales","Scotland",0,3,"Friendly","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1879-04-07",TRUE
1880-03-13,"Scotland","England",5,4,"Friendly","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",1,"Scotland_England_1880-03-13",TRUE
1880-03-15,"Wales","England",2,3,"Friendly","Wrexham","Wales",FALSE,"Wales","England","WAL","ENG",0,"Wales_England_1880-03-15",TRUE
1880-03-27,"Scotland","Wales",5,1,"Friendly","Glasgow","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1880-03-27",TRUE
1881-02-26,"England","Wales",0,1,"Friendly","Blackburn","England",FALSE,"England","Wales","ENG","WAL",0,"England_Wales_1881-02-26",TRUE
1881-03-12,"England","Scotland",1,6,"Friendly","London","England",FALSE,"England","Scotland","ENG",NA,0,"England_Scotland_1881-03-12",TRUE
1881-03-14,"Wales","Scotland",1,5,"Friendly","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1881-03-14",TRUE
1882-02-18,"Northern Ireland","England",0,13,"Friendly","Belfast","Ireland",FALSE,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1882-02-18",TRUE
1882-02-25,"Wales","Northern Ireland",7,1,"Friendly","Wrexham","Wales",FALSE,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1882-02-25",TRUE
1882-03-11,"Scotland","England",5,1,"Friendly","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",1,"Scotland_England_1882-03-11",TRUE
1882-03-13,"Wales","England",5,3,"Friendly","Wrexham","Wales",FALSE,"Wales","England","WAL","ENG",1,"Wales_England_1882-03-13",TRUE
1882-03-25,"Scotland","Wales",5,0,"Friendly","Glasgow","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1882-03-25",TRUE
1883-02-03,"England","Wales",5,0,"Friendly","London","England",FALSE,"England","Wales","ENG","WAL",1,"England_Wales_1883-02-03",TRUE
1883-02-24,"England","Northern Ireland",7,0,"Friendly","Liverpool","England",FALSE,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1883-02-24",TRUE
1883-03-10,"England","Scotland",2,3,"Friendly","Sheffield","England",FALSE,"England","Scotland","ENG",NA,0,"England_Scotland_1883-03-10",TRUE
1883-03-12,"Wales","Scotland",0,3,"Friendly","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1883-03-12",TRUE
1883-03-17,"Northern Ireland","Wales",1,1,"Friendly","Belfast","Ireland",FALSE,"Ireland, Northern","Wales","NIR","WAL",0.5,"Ireland, Northern_Wales_1883-03-17",TRUE
1884-01-26,"Northern Ireland","Scotland",0,5,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1884-01-26",TRUE
1884-02-09,"Wales","Northern Ireland",6,0,"British Home Championship","Wrexham","Wales",FALSE,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1884-02-09",TRUE
1884-02-23,"Northern Ireland","England",1,8,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1884-02-23",TRUE
1884-03-15,"Scotland","England",1,0,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",1,"Scotland_England_1884-03-15",TRUE
1884-03-17,"Wales","England",0,4,"British Home Championship","Wrexham","Wales",FALSE,"Wales","England","WAL","ENG",0,"Wales_England_1884-03-17",TRUE
1884-03-29,"Scotland","Wales",4,1,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1884-03-29",TRUE
1885-02-28,"England","Northern Ireland",4,0,"British Home Championship","Manchester","England",FALSE,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1885-02-28",TRUE
1885-03-14,"England","Wales",1,1,"British Home Championship","Blackburn","England",FALSE,"England","Wales","ENG","WAL",0.5,"England_Wales_1885-03-14",TRUE
1885-03-14,"Scotland","Northern Ireland",8,2,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1885-03-14",TRUE
1885-03-21,"England","Scotland",1,1,"British Home Championship","London","England",FALSE,"England","Scotland","ENG",NA,0.5,"England_Scotland_1885-03-21",TRUE
1885-03-23,"Wales","Scotland",1,8,"British Home Championship","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1885-03-23",TRUE
1885-04-11,"Northern Ireland","Wales",2,8,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Wales","NIR","WAL",0,"Ireland, Northern_Wales_1885-04-11",TRUE
1885-11-28,"United States","Canada",0,1,"Friendly","Newark","United States",FALSE,"United States","Canada","USA","CAN",0,"United States_Canada_1885-11-28",TRUE
1886-02-27,"Wales","Northern Ireland",5,0,"British Home Championship","Wrexham","Wales",FALSE,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1886-02-27",TRUE
1886-03-13,"Northern Ireland","England",1,6,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1886-03-13",TRUE
1886-03-20,"Northern Ireland","Scotland",2,7,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1886-03-20",TRUE
1886-03-27,"Scotland","England",1,1,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",0.5,"Scotland_England_1886-03-27",TRUE
1886-03-29,"Wales","England",1,3,"British Home Championship","Wrexham","Wales",FALSE,"Wales","England","WAL","ENG",0,"Wales_England_1886-03-29",TRUE
1886-04-10,"Scotland","Wales",4,1,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1886-04-10",TRUE
1886-11-25,"United States","Canada",3,2,"Friendly","Newark","United States",FALSE,"United States","Canada","USA","CAN",1,"United States_Canada_1886-11-25",TRUE
1887-02-05,"England","Northern Ireland",7,0,"British Home Championship","Sheffield","England",FALSE,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1887-02-05",TRUE
1887-02-19,"Scotland","Northern Ireland",4,1,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1887-02-19",TRUE
1887-02-26,"England","Wales",4,0,"British Home Championship","London","England",FALSE,"England","Wales","ENG","WAL",1,"England_Wales_1887-02-26",TRUE
1887-03-12,"Northern Ireland","Wales",4,1,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Wales","NIR","WAL",1,"Ireland, Northern_Wales_1887-03-12",TRUE
1887-03-19,"England","Scotland",2,3,"British Home Championship","Blackburn","England",FALSE,"England","Scotland","ENG",NA,0,"England_Scotland_1887-03-19",TRUE
1887-03-21,"Wales","Scotland",0,2,"British Home Championship","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1887-03-21",TRUE
1888-02-04,"England","Wales",5,1,"British Home Championship","Crewe","England",FALSE,"England","Wales","ENG","WAL",1,"England_Wales_1888-02-04",TRUE
1888-03-03,"Wales","Northern Ireland",11,0,"British Home Championship","Wrexham","Wales",FALSE,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1888-03-03",TRUE
1888-03-10,"Scotland","Wales",5,1,"British Home Championship","Edinburgh","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1888-03-10",TRUE
1888-03-17,"Scotland","England",0,5,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",0,"Scotland_England_1888-03-17",TRUE
1888-03-24,"Northern Ireland","Scotland",2,10,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1888-03-24",TRUE
1888-04-07,"Northern Ireland","England",1,5,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1888-04-07",TRUE
1888-09-19,"Scotland","Canada",4,0,"Friendly","Glasgow","Scotland",FALSE,"Scotland","Canada",NA,"CAN",1,"Scotland_Canada_1888-09-19",TRUE
1889-02-23,"England","Wales",4,1,"British Home Championship","Stoke-on-Trent","England",FALSE,"England","Wales","ENG","WAL",1,"England_Wales_1889-02-23",TRUE
1889-03-02,"England","Northern Ireland",6,1,"British Home Championship","Liverpool","England",FALSE,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1889-03-02",TRUE
1889-03-09,"Scotland","Northern Ireland",7,0,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1889-03-09",TRUE
1889-04-13,"England","Scotland",2,3,"British Home Championship","London","England",FALSE,"England","Scotland","ENG",NA,0,"England_Scotland_1889-04-13",TRUE
1889-04-15,"Wales","Scotland",0,0,"British Home Championship","Wrexham","Wales",FALSE,"Wales","Scotland","WAL",NA,0.5,"Wales_Scotland_1889-04-15",TRUE
1889-04-27,"Northern Ireland","Wales",1,3,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Wales","NIR","WAL",0,"Ireland, Northern_Wales_1889-04-27",TRUE
1890-02-08,"Wales","Northern Ireland",5,2,"British Home Championship","Shrewsbury","England",TRUE,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1890-02-08",FALSE
1890-03-15,"Northern Ireland","England",1,9,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1890-03-15",TRUE
1890-03-15,"Wales","England",1,3,"British Home Championship","Wrexham","Wales",FALSE,"Wales","England","WAL","ENG",0,"Wales_England_1890-03-15",TRUE
1890-03-22,"Scotland","Wales",5,0,"British Home Championship","Paisley","Scotland",FALSE,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1890-03-22",TRUE
1890-03-29,"Northern Ireland","Scotland",1,4,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1890-03-29",TRUE
1890-04-05,"Scotland","England",1,1,"British Home Championship","Glasgow","Scotland",FALSE,"Scotland","England",NA,"ENG",0.5,"Scotland_England_1890-04-05",TRUE
1891-02-07,"Northern Ireland","Wales",7,2,"British Home Championship","Belfast","Ireland",FALSE,"Ireland, Northern","Wales","NIR","WAL",1,"Ireland, Northern_Wales_1891-02-07",TRUE
