"round","match_id","slot1_label","slot2_label","slot1_team","slot1_display","slot1_probability","slot1_advancement_probability","slot1_regulation_win_probability","slot1_extra_time_penalty_probability","slot1_tiebreak_probability","slot1_source_match_id","slot2_team","slot2_display","slot2_probability","slot2_advancement_probability","slot2_regulation_win_probability","slot2_extra_time_penalty_probability","slot2_tiebreak_probability","slot2_source_match_id","draw_after_regulation_probability","projected_winner_team","projected_winner","projected_winner_match_probability","projected_winner_regulation_probability","projected_winner_extra_time_penalty_probability","projected_winner_tiebreak_probability","projected_winner_route_label","slot1_expected_goals","slot2_expected_goals","most_likely_score","most_likely_score_probability","rounded_expected_score","over_2_5_probability","both_teams_to_score_probability","top_scorelines_label","projected_winner_stage_probability","projected_winner_title_probability","projected_loser_team","projected_loser","projected_loser_stage_probability","next_match_id","loser_next_match_id","projected_winner_continues","projected_champion_path","is_completed","match_status","actual_match_date","actual_slot1_goals","actual_slot2_goals","actual_score","actual_winner_team","actual_winner","actual_winner_continues","prematch_slot1_probability","prematch_slot1_advancement_probability","prematch_slot1_regulation_win_probability","prematch_slot1_extra_time_penalty_probability","prematch_slot1_tiebreak_probability","prematch_slot2_probability","prematch_slot2_advancement_probability","prematch_slot2_regulation_win_probability","prematch_slot2_extra_time_penalty_probability","prematch_slot2_tiebreak_probability","prematch_draw_after_regulation_probability","prematch_projected_winner_team","prematch_projected_winner","prematch_projected_winner_match_probability","prematch_projected_winner_regulation_probability","prematch_projected_winner_extra_time_penalty_probability","prematch_projected_winner_tiebreak_probability","prematch_projected_winner_route_label","prematch_slot1_expected_goals","prematch_slot2_expected_goals","prematch_most_likely_score","prematch_most_likely_score_probability","prematch_rounded_expected_score","prematch_over_2_5_probability","prematch_both_teams_to_score_probability","prematch_top_scorelines_label","prematch_generated_at","prematch_feature_cutoff_date","prematch_actual_results_cutoff_date","prematch_forecast_source","prematch_forecast_available"
"Round of 32","M73","Runner-up Group A","Runner-up Group B","South Africa","South Africa",1,0,0.285270039216847,0.0743948044814337,0.302878533360383,NA,"Canada","Canada",1,1,0.469104086753599,0.171231069548121,0.697121466639617,NA,0.245625874029555,"Canada","Canada",1,0.469104086753599,0.171231069548121,0.697121466639617,"90' win 46.9% + (90' draw 24.6% x ET/pens share 69.7% = 17.1%)",1.11627139455605,1.5842806706985,"0-1",0.108869290838551,"1-2",0.486447008923425,0.479133126548155,"0-1 10.9% | 1-1 10.3% | 0-0 9.1% | 1-0 8.6% | 0-2 7.9%",1,0,"South Africa","South Africa",0,"M90",NA,FALSE,FALSE,TRUE,"final","2026-06-28",0,1,"0-1","Canada","Canada",TRUE,1,0.343087025876645,0.269571198906211,0.073515826970434,0.302834633147127,1,0.656912974123355,0.48766982004053,0.169243154082825,0.697165366852873,0.242758981053259,"Canada","Canada",0.656912974123355,0.48766982004053,0.169243154082825,0.697165366852873,"90' win 48.8% + (90' draw 24.3% x ET/pens share 69.7% = 16.9%)",1.08001907495054,1.63603276909953,"0-1",0.110625828745763,"1-2",0.489495026025196,0.476934808605767,"0-1 11.1% | 1-1 10.2% | 0-0 9.0% | 1-0 8.3% | 0-2 8.2%","2026-06-30 06:43:35.33831","2026-06-29","2026-06-30","dashboard_bracket_archive",TRUE
"Round of 32","M74","Winner Group E","Best 3rd A/B/C/D/F","Germany","Germany",1,0,0.57305256487139,0.155730055582291,0.699248982081977,NA,"Paraguay","Paraguay",1,1,0.204236984955894,0.0669803945904255,0.300751017918023,NA,0.222710450172716,"Paraguay","Paraguay",1,0.204236984955894,0.0669803945904255,0.300751017918023,"90' win 20.4% + (90' draw 22.3% x ET/pens share 30.1% = 6.7%)",1.87956795407503,0.941226364574163,"1-0",0.11790044564281,"2-1",0.512655265220015,0.465490494224829,"1-0 11.8% | 2-0 9.9% | 1-1 9.3% | 0-0 8.2% | 2-1 7.8%",1,0,"Germany","Germany",0,"M89",NA,FALSE,FALSE,TRUE,"final","2026-06-29",1,1,"1-1","Paraguay","Paraguay",TRUE,1,0.728945511998725,0.573193032740801,0.155752479257924,0.699322644271577,1,0.271054488001275,0.204087911135744,0.0669665768655305,0.300677355728423,0.222719056123454,"Germany","Germany",0.728945511998725,0.573193032740801,0.155752479257924,0.699322644271577,"90' win 57.3% + (90' draw 22.3% x ET/pens share 69.9% = 15.6%)",1.87961516746864,0.940566148780244,"1-0",0.117950137615358,"2-1",0.512531249882384,0.46534434925699,"1-0 11.8% | 2-0 9.9% | 1-1 9.3% | 0-0 8.2% | 2-1 7.8%","2026-06-30 06:46:56.112785","2026-06-29","2026-06-30","dashboard_bracket_archive",TRUE
"Round of 32","M75","Winner Group F","Runner-up Group C","Netherlands","Netherlands",1,0,0.360281130638867,0.126897011741568,0.502409478205998,NA,"Morocco","Morocco",1,1,0.387142002788688,0.125679854830877,0.497590521794002,NA,0.252576866572445,"Morocco","Morocco",1,0.387142002788688,0.125679854830877,0.497590521794002,"90' win 38.7% + (90' draw 25.3% x ET/pens share 49.8% = 12.6%)",1.29152765695171,1.36904645113333,"1-1",0.105775452892315,"1-1",0.478747195285482,0.484109702716395,"1-1 10.6% | 0-1 9.9% | 1-0 9.9% | 0-0 9.3% | 1-2 6.8%",1,0,"Netherlands","Netherlands",0,"M90",NA,TRUE,FALSE,TRUE,"final","2026-06-29",1,1,"1-1","Morocco","Morocco",TRUE,1,0.476411716961162,0.349621636439902,0.126790080521259,0.502494170423879,1,0.523588283038839,0.398056868139951,0.125531414898888,0.497505829576121,0.252321495420147,"Morocco","Morocco",0.523588283038839,0.398056868139951,0.125531414898888,0.497505829576121,"90' win 39.8% + (90' draw 25.2% x ET/pens share 49.8% = 12.6%)",1.26571045291897,1.39591798713835,"1-1",0.105666041826822,"1-1",0.478897303461062,0.483709351469158,"1-1 10.6% | 0-1 10.1% | 1-0 9.7% | 0-0 9.3% | 1-2 6.9%","2026-06-30 06:46:56.112785","2026-06-29","2026-06-30","dashboard_bracket_archive",TRUE
"Round of 32","M76","Winner Group C","Runner-up Group F","Brazil","Brazil",1,1,0.438558661018815,0.157047477614114,0.631407795029879,NA,"Japan","Japan",1,0,0.312715430225684,0.0916784311413873,0.368592204970121,NA,0.248725908755501,"Brazil","Brazil",1,0.438558661018815,0.157047477614114,0.631407795029879,"90' win 43.9% + (90' draw 24.9% x ET/pens share 63.1% = 15.7%)",1.49007388734455,1.19265399735444,"1-0",0.108473241717279,"1-1",0.483935080153681,0.483488702275425,"1-0 10.8% | 1-1 10.4% | 0-0 9.1% | 0-1 8.7% | 2-0 7.6%",1,0,"Japan","Japan",0,"M91",NA,FALSE,FALSE,TRUE,"final","2026-06-29",2,1,"2-1","Brazil","Brazil",TRUE,1,0.593417731416215,0.436163495849464,0.157254235566751,0.631418858408529,1,0.406582268583785,0.314787503677055,0.0917947649067308,0.368581141591471,0.249049000473482,"Brazil","Brazil",0.593417731416215,0.436163495849464,0.157254235566751,0.631418858408529,"90' win 43.6% + (90' draw 24.9% x ET/pens share 63.1% = 15.7%)",1.48332877766183,1.19699624083871,"1-0",0.108267558352052,"1-1",0.483420303976646,0.483472072999706,"1-0 10.8% | 1-1 10.4% | 0-0 9.1% | 0-1 8.7% | 2-0 7.5%","2026-06-30 06:43:35.33831","2026-06-29","2026-06-30","dashboard_bracket_archive",TRUE
"Round of 32","M77","Winner Group I","Best 3rd C/D/F/G/H","France","France",1,1,0.62629826357486,0.155390834998023,0.753962334439412,NA,"Sweden","Sweden",1,0,0.167602800311095,0.0507081011160199,0.246037665560588,NA,0.206098936114043,"France","France",1,0.62629826357486,0.155390834998023,0.753962334439412,"90' win 62.6% + (90' draw 20.6% x ET/pens share 75.4% = 15.5%)",2.06651628991675,0.856273384073486,"1-0",0.118106214918934,"2-1",0.532870440835043,0.454161685646,"1-0 11.8% | 2-0 10.6% | 1-1 8.6% | 2-1 7.8% | 0-0 7.6%",1,0,"Sweden","Sweden",0,"M89",NA,TRUE,FALSE,TRUE,"final","2026-06-30",3,0,"3-0","France","France",TRUE,1,0.782157541238165,0.626911280686623,0.155246260551542,0.753868234428037,1,0.217842458761835,0.167155834146345,0.0506866246154901,0.246131765571963,0.205932885167032,"France","France",0.782157541238165,0.626911280686623,0.155246260551542,0.753868234428037,"90' win 62.7% + (90' draw 20.6% x ET/pens share 75.4% = 15.5%)",2.06835481263845,0.854924580767549,"1-0",0.11814461191776,"2-1",0.532966263554835,0.45389764230426,"1-0 11.8% | 2-0 10.6% | 1-1 8.6% | 2-1 7.8% | 0-0 7.6%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive",TRUE
"Round of 32","M78","Runner-up Group E","Runner-up Group I","Ivory Coast","Cote d'Ivoire",1,0,0.357613065491729,0.109671616363312,0.434269876159749,NA,"Norway","Norway",1,1,0.38984439728893,0.142870920856029,0.565730123840251,NA,0.252542537219341,"Norway","Norway",1,0.38984439728893,0.142870920856029,0.565730123840251,"90' win 39.0% + (90' draw 25.3% x ET/pens share 56.6% = 14.3%)",1.28495780320413,1.37560778634376,"1-1",0.105756382376589,"1-1",0.478722182551186,0.483981117660637,"1-1 10.6% | 0-1 10.0% | 1-0 9.8% | 0-0 9.3% | 1-2 6.8%",1,0,"Ivory Coast","Cote d'Ivoire",0,"M91",NA,TRUE,FALSE,TRUE,"final","2026-06-30",1,2,"1-2","Norway","Norway",TRUE,1,0.480620486587179,0.370880580434264,0.109739906152915,0.434109238782766,1,0.519379513412821,0.37632612159165,0.14305339182117,0.565890761217234,0.252793297974085,"Norway","Norway",0.519379513412821,0.37632612159165,0.14305339182117,0.565890761217234,"90' win 37.6% + (90' draw 25.3% x ET/pens share 56.6% = 14.3%)",1.31656506186165,1.34161892303114,"1-1",0.105878982903047,"1-1",0.47832197932383,0.484068350085292,"1-1 10.6% | 1-0 10.0% | 0-1 9.8% | 0-0 9.3% | 1-2 6.7%","2026-06-30 20:34:22.054971","2026-06-29","2026-06-30","dashboard_bracket_archive",TRUE
"Round of 32","M79","Winner Group A","Best 3rd C/E/F/H/I","Mexico","Mexico",1,1,0.403827657275544,0.122294773434103,0.485626111966869,NA,"Ecuador","Ecuador",1,0,0.344343270068564,0.129534299221789,0.514373888033131,NA,0.251829072655892,"Mexico","Mexico",1,0.403827657275544,0.122294773434103,0.485626111966869,"90' win 40.4% + (90' draw 25.2% x ET/pens share 48.6% = 12.2%)",1.39850874314904,1.26495484771755,"1-1",0.105489689981657,"1-1",0.479645925447735,0.48402636408001,"1-1 10.5% | 1-0 10.5% | 0-1 9.3% | 0-0 9.2% | 2-1 7.0%",1,0,"Ecuador","Ecuador",0,"M92",NA,FALSE,FALSE,TRUE,"final","2026-06-30",2,0,"2-0","Mexico","Mexico",TRUE,1,0.519017620630307,0.396520819712038,0.122496800918269,0.485637483076787,1,0.480982379369693,0.351239999444295,0.129742379925398,0.514362516923213,0.252239180843667,"Mexico","Mexico",0.519017620630307,0.396520819712038,0.122496800918269,0.485637483076787,"90' win 39.7% + (90' draw 25.2% x ET/pens share 48.6% = 12.2%)",1.37985986566457,1.28100823966061,"1-1",0.10566753941936,"1-1",0.479062261041683,0.484071027892389,"1-1 10.6% | 1-0 10.4% | 0-1 9.4% | 0-0 9.2% | 2-1 6.9%","2026-07-01 05:13:43.557784","2026-06-30","2026-07-01","dashboard_bracket_archive",TRUE
"Round of 32","M80","Winner Group L","Best 3rd E/H/I/J/K","England","England",1,1,0.620656481344303,0.163977437484018,0.788303742693284,NA,"DR Congo","DR Congo",1,0,0.171330504631711,0.0440355765399672,0.211696257306716,NA,0.208013014023985,"England","England",1,0.620656481344303,0.163977437484018,0.788303742693284,"90' win 62.1% + (90' draw 20.8% x ET/pens share 78.8% = 16.4%)",2.04553490509691,0.865017367294909,"1-0",0.118187680320755,"2-1",0.53048366528215,0.45548764429227,"1-0 11.8% | 2-0 10.6% | 1-1 8.7% | 2-1 7.8% | 0-0 7.7%",1,0,"DR Congo","DR Congo",0,"M92",NA,TRUE,FALSE,TRUE,"final","2026-07-01",2,1,"2-1","England","England",TRUE,1,0.783531703045333,0.619086728658303,0.16444497438703,0.788398693522785,1,0.216468296954667,0.172332288473443,0.0441360084812242,0.211601306477215,0.208580982868254,"England","England",0.783531703045333,0.619086728658303,0.16444497438703,0.788398693522785,"90' win 61.9% + (90' draw 20.9% x ET/pens share 78.8% = 16.4%)",2.03930197688404,0.867089035792609,"1-0",0.118252018343343,"2-1",0.529674275399321,0.455746449747296,"1-0 11.8% | 2-0 10.5% | 1-1 8.7% | 2-1 7.8% | 0-0 7.7%","2026-07-01 19:03:40.560889","2026-06-30","2026-07-01","dashboard_bracket_archive",TRUE
"Round of 32","M81","Winner Group D","Best 3rd B/E/F/I/J","United States","United States",1,1,0.577954418648454,0.160179805137137,0.723435420811195,NA,"Bosnia and Herzegovina","Bosnia and Herzegovina",1,0,0.200630095560808,0.0612356806536002,0.276564579188805,NA,0.221415485790738,"United States","United States",1,0.577954418648454,0.160179805137137,0.723435420811195,"90' win 57.8% + (90' draw 22.1% x ET/pens share 72.3% = 16.0%)",1.8948105882824,0.932235231476656,"1-0",0.118142772302589,"2-1",0.513899255129263,0.464203573281528,"1-0 11.8% | 2-0 9.9% | 1-1 9.3% | 0-0 8.2% | 2-1 7.8%",1,0,"Bosnia and Herzegovina","Bosnia and Herzegovina",0,"M94",NA,FALSE,FALSE,TRUE,"final","2026-07-01",2,0,"2-0","United States","United States",TRUE,1,0.742357774016556,0.583268026996194,0.159089747020362,0.723364359062561,1,0.257642225983444,0.196801663987015,0.0608405619964292,0.276635640937439,0.219930309016791,"United States","United States",0.742357774016556,0.583268026996194,0.159089747020362,0.723364359062561,"90' win 58.3% + (90' draw 22.0% x ET/pens share 72.3% = 15.9%)",1.91208580866833,0.923059896636299,"1-0",0.118299927219994,"2-1",0.515531233200661,0.46302268237368,"1-0 11.8% | 2-0 10.0% | 1-1 9.2% | 0-0 8.1% | 2-1 7.8%","2026-07-01 23:59:23.570886","2026-06-30","2026-07-01","dashboard_bracket_archive",TRUE
"Round of 32","M82","Winner Group G","Best 3rd A/E/H/I/J","Belgium","Belgium",1,1,0.424950060580929,0.137546803178249,0.549277425481091,NA,"Senegal","Senegal",1,0,0.324635855756744,0.112867280484077,0.450722574518909,NA,0.250414083662326,"Belgium","Belgium",1,0.424950060580929,0.137546803178249,0.549277425481091,"90' win 42.5% + (90' draw 25.0% x ET/pens share 54.9% = 13.8%)",1.45187934708182,1.21799683625374,"1-0",0.107338363308049,"1-1",0.481108090026704,0.483122111665198,"1-0 10.7% | 1-1 10.5% | 0-0 9.1% | 0-1 8.9% | 2-0 7.3%",1,0,"Senegal","Senegal",0,"M94",NA,TRUE,FALSE,TRUE,"final","2026-07-01",3,2,"3-2","Belgium","Belgium",TRUE,1,0.551254127704425,0.413155049496291,0.138099078208134,0.549369034740273,1,0.448745872295574,0.335467334593078,0.113278537702496,0.450630965259727,0.25137761591063,"Belgium","Belgium",0.551254127704425,0.413155049496291,0.138099078208134,0.549369034740273,"90' win 41.3% + (90' draw 25.1% x ET/pens share 54.9% = 13.8%)",1.42137432134741,1.24314695823231,"1-0",0.105971784746783,"1-1",0.479923473115172,0.483506483178425,"1-0 10.6% | 1-1 10.5% | 0-0 9.2% | 0-1 9.1% | 2-0 7.1%","2026-07-01 23:59:23.570886","2026-06-30","2026-07-01","dashboard_bracket_archive",TRUE
